EmployeeID,Age,MonthlyIncome,JobRole,YearsAtCompany,Attrition,MaritalStatus,Gender
EMP101,26,41000,Developer,3,0,0,Male
EMP102,38,75000,Manager,12,1,1,Female
EMP103,30,48000,Analyst,4,0,0,Female
EMP104,47,130000,Developer,22,0,1,Male
EMP105,29,36000,Manager,3,1,0,Male
EMP106,34,62000,Analyst,6,0,1,Female
EMP107,41,95000,Developer,16,0,1,Male
EMP108,27,46000,Manager,2,1,0,Female
EMP109,39,82000,Analyst,13,0,1,Male
EMP110,31,54000,Developer,5,1,0,Female
EMP111,28,38000,Manager,4,1,0,Male
EMP112,52,155000,Developer,28,0,1,Male
EMP113,35,60000,Analyst,7,0,1,Female
EMP114,43,97000,Manager,19,0,1,Male
EMP115,25,33000,Analyst,1,1,0,Female
EMP116,37,73000,Developer,10,0,1,Male
EMP117,32,50000,Manager,6,0,0,Female
